Donor_Id,Distance_KM,Requests_Received,Requests_Accepted,Gamification_XP,Will_Respond
1,77.62,18,15,386,1
2,44.45,1,1,288,1
3,86.0,8,6,731,1
4,70.04,9,3,752,1
5,10.32,16,13,92,1
6,97.59,2,2,793,1
7,76.35,9,4,70,0
8,78.82,3,0,620,1
9,13.68,16,6,389,1
10,45.59,13,9,301,1
11,37.71,10,3,483,1
12,92.75,8,3,310,0
13,64.74,3,3,794,1
14,82.45,19,16,967,1
15,44.9,13,11,816,1
16,23.5,6,4,439,1
17,55.9,8,1,503,0
18,7.32,15,14,447,1
19,82.94,15,5,794,1
20,63.53,9,2,552,0
21,76.05,6,1,468,0
22,36.1,13,7,409,1
23,97.1,13,11,375,1
24,89.42,12,8,553,1
25,78.06,1,0,689,0
26,20.27,9,2,432,0
27,47.21,12,8,807,0
28,5.34,19,7,827,0
29,16.27,11,5,429,1
30,68.62,7,3,909,1
31,74.73,11,5,173,0
32,96.78,3,1,933,1
33,33.26,1,0,294,1
34,37.68,14,13,564,1
35,47.49,20,9,283,1
36,19.76,17,9,442,1
37,13.86,12,7,340,1
38,48.09,0,0,705,0
39,23.46,20,15,81,1
40,67.31,9,8,839,0
41,44.28,6,5,904,1
42,83.44,18,7,563,0
43,70.33,15,7,547,1
44,31.92,15,5,700,1
45,83.39,5,3,199,0
46,80.67,20,10,750,1
47,39.36,9,3,218,0
48,29.54,11,5,677,1
49,68.57,15,5,305,0
50,14.84,13,5,746,0
51,20.79,3,0,791,1
52,1.73,6,3,208,1
53,78.91,7,3,618,1
54,66.82,19,10,498,1
55,70.81,15,9,294,1
56,78.29,7,6,588,1
57,46.43,15,11,993,1
58,57.31,15,12,2,1
59,14.84,8,6,957,1
60,12.34,8,6,856,1
61,67.17,18,18,529,0
62,47.64,11,6,610,0
63,56.96,3,2,369,0
64,76.73,15,11,129,1
65,63.84,12,9,572,0
66,55.8,10,5,817,1
67,56.36,15,4,231,1
68,31.09,19,2,717,1
69,4.05,6,5,748,1
70,44.24,8,4,759,1
71,22.24,3,3,340,1
72,41.44,13,11,392,1
73,85.49,8,4,416,0
74,24.16,7,5,855,1
75,6.77,14,6,901,0
76,28.86,8,3,414,1
77,30.07,9,6,970,1
78,66.53,9,6,571,1
79,56.15,5,3,385,0
80,78.61,2,2,0,1
81,66.77,17,11,611,0
82,41.23,1,0,645,1
83,81.59,6,4,969,1
84,17.53,14,3,718,1
85,3.25,2,2,29,1
86,9.91,13,13,567,1
87,72.51,15,7,743,0
88,46.73,13,8,497,0
89,16.97,6,1,429,0
90,50.6,0,0,810,1
91,16.08,18,6,611,1
92,69.94,6,1,682,0
93,45.17,16,12,464,0
94,38.72,4,3,278,1
95,30.85,3,2,519,0
96,63.4,16,13,960,1
97,36.82,19,6,603,0
98,9.68,18,9,707,0
99,12.68,15,13,124,1
100,96.23,5,2,988,1
101,90.95,19,12,244,1
102,70.27,14,8,972,1
103,27.32,3,2,446,0
104,96.95,2,1,919,1
105,78.1,18,7,892,0
106,71.97,5,3,756,0
107,45.49,16,16,917,1
108,27.95,2,0,610,1
109,10.54,5,2,849,1
110,90.36,5,3,172,0
111,46.12,5,2,70,1
112,21.03,14,11,543,1
113,31.29,19,11,810,1
114,58.34,19,11,766,1
115,18.5,15,11,528,1
116,85.8,4,2,521,1
117,76.09,20,4,610,1
118,72.23,11,7,869,1
119,43.78,11,10,842,1
120,63.1,14,6,109,1
121,58.83,16,8,596,1
122,65.33,20,8,381,0
123,9.36,12,7,800,0
124,42.16,12,7,506,1
125,5.12,15,6,992,1
126,49.91,5,2,432,1
127,33.66,6,3,679,1
128,15.31,13,4,108,1
129,11.24,1,0,933,0
130,59.18,6,2,153,1
131,17.89,15,9,378,1
132,92.59,20,17,838,1
133,58.53,10,8,968,1
134,35.34,8,5,484,1
135,59.5,9,6,485,1
136,3.26,14,8,48,0
137,95.9,11,5,979,0
138,48.75,0,0,16,0
139,78.49,11,4,26,1
140,9.19,8,6,473,1
141,49.18,14,11,3,1
142,49.58,18,7,164,0
143,93.84,20,13,628,1
144,57.6,12,5,705,0
145,47.88,7,3,298,0
146,27.43,9,4,796,0
147,33.83,3,2,608,1
148,52.55,19,15,228,1
149,44.45,17,12,713,0
150,3.14,17,11,592,1
151,82.8,6,3,812,1
